"name","company","ticker","stock","percent_portfolio","shares","reported_price","percent_difference_current_price","current_price","value"
Fred Martin,Disciplined Growth Investors,CARA,CARA THERAPEUTICS INC,0.01%,1935718,$0.26,24.03%,$0.32,$499415
Fred Martin,Disciplined Growth Investors,CEVA,CEVA INC,0.17%,322111,$19.29,16.38%,$22.45,$6213538
Fred Martin,Disciplined Growth Investors,CVX,CHEVRON CORP,0.00%,1295,$156.42,9.17%,$142.07,$202564
Fred Martin,Disciplined Growth Investors,CGNX,COGNEX CORP,3.03%,3445894,$46.76,17.34%,$38.65,$161130003
Fred Martin,Disciplined Growth Investors,CHRS,COHERUS BIOSCIENCES INC,0.04%,823393,$1.73,24.28%,$1.31,$1424470
Fred Martin,Disciplined Growth Investors,CLB,CORE LABORATORIES INC,1.70%,4460720,$20.29,8.82%,$18.50,$90508009
Fred Martin,Disciplined Growth Investors,DLB,DOLBY LABORATORIES INC-CL A,2.09%,897678,$79.23,10.79%,$70.68,$71123084
Fred Martin,Disciplined Growth Investors,EGAN,EGAIN CORP,0.13%,1129323,$6.31,3.49%,$6.53,$7126028
Fred Martin,Disciplined Growth Investors,EVBG,EVERBRIDGE INC,0.08%,128350,$34.99,0.03%,$35.00,$4490966
Fred Martin,Disciplined Growth Investors,FND,FLOOR & DECOR HOLDINGS INC-A,2.10%,702393,$99.41,7.14%,$106.51,$69824962
Fred Martin,Disciplined Growth Investors,GRMN,GARMIN LTD,4.15%,1352359,$162.92,11.05%,$180.93,$220326328
Fred Martin,Disciplined Growth Investors,GNRC,GENERAC HOLDINGS INC,0.91%,365008,$132.22,11.05%,$146.83,$48261358
Fred Martin,Disciplined Growth Investors,GNTX,GENTEX CORP,2.70%,2598496,$33.71,9.02%,$30.67,$87595330
Fred Martin,Disciplined Growth Investors,THRM,GENTHERM INC,1.06%,1146620,$49.32,3.47%,$47.61,$56551298
Fred Martin,Disciplined Growth Investors,GEOS,GEOSPACE TECHNOLOGIES CORP,0.27%,1570762,$8.98,7.68%,$9.67,$14105443
Fred Martin,Disciplined Growth Investors,GGG,GRACO INC,0.61%,241609,$79.28,2.86%,$81.55,$19154782
Fred Martin,Disciplined Growth Investors,MLHR,HERMAN MILLER INC,0.17%,177227,$26.49,45.94%,$38.66,$4694751
Fred Martin,Disciplined Growth Investors,INMD,INMODE LTD,0.28%,804958,$18.24,15.41%,$15.43,$14682434
Fred Martin,Disciplined Growth Investors,IDCC,INTERDIGITAL INC,2.40%,1092927,$116.56,15.39%,$134.50,$127391571
Fred Martin,Disciplined Growth Investors,INTU,INTUIT INC,2.41%,113195,$657.21,5.19%,$623.10,$74393346
Fred Martin,Disciplined Growth Investors,ISRG,INTUITIVE SURGICAL INC,2.07%,247347,$444.85,8.29%,$481.73,$110032313
Fred Martin,Disciplined Growth Investors,IPGP,IPG PHOTONICS CORP,0.78%,490959,$84.39,22.06%,$65.77,$41432030
Fred Martin,Disciplined Growth Investors,KRNT,KORNIT DIGITAL LTD,0.57%,1164224,$14.64,23.91%,$18.14,$17044252
Fred Martin,Disciplined Growth Investors,LSTR,LANDSTAR SYSTEM INC,1.10%,317546,$184.48,0.26%,$184.00,$58580886
Fred Martin,Disciplined Growth Investors,LGIH,LGI HOMES INC,1.53%,906198,$89.49,16.21%,$104.00,$81095659
Fred Martin,Disciplined Growth Investors,MTLS,MATERIALISE NV-ADR,0.15%,876453,$5.01,0.80%,$5.05,$4391032
Fred Martin,Disciplined Growth Investors,MCHP,MICROCHIP TECHNOLOGY INC,3.00%,1740382,$91.50,15.97%,$76.89,$159244953
Fred Martin,Disciplined Growth Investors,MSFT,MICROSOFT CORP,0.01%,679,$446.95,8.51%,$408.90,$303479
Fred Martin,Disciplined Growth Investors,MDXG,MIMEDX GROUP INC,0.05%,352650,$6.93,5.05%,$6.58,$2443864
Fred Martin,Disciplined Growth Investors,MSM,MSC INDUSTRIAL DIRECT CO-A,0.91%,606702,$79.31,0.92%,$78.58,$48117536
Fred Martin,Disciplined Growth Investors,MYGN,MYRIAD GENETICS INC,0.96%,1085410,$24.46,3.68%,$25.36,$26549142
Fred Martin,Disciplined Growth Investors,PAYX,PAYCHEX INC,0.31%,140852,$118.56,11.37%,$132.04,$16699413
Fred Martin,Disciplined Growth Investors,PLXS,PLEXUS CORP,4.10%,2109047,$103.18,19.21%,$123.00,$217611469
Fred Martin,Disciplined Growth Investors,POWI,POWER INTEGRATIONS INC,2.68%,1025605,$70.19,13.12%,$60.98,$71987250
Fred Martin,Disciplined Growth Investors,PWFL,POWERFLEET INC,0.73%,8480386,$4.57,0.00%,$4.57,$38755364
Fred Martin,Disciplined Growth Investors,PGNY,PROGYNY INC,0.28%,528412,$28.61,16.85%,$23.79,$15117867
Fred Martin,Disciplined Growth Investors,PRO,PROS HOLDINGS INC,0.28%,518221,$28.65,35.46%,$18.49,$14847043
Fred Martin,Disciplined Growth Investors,PRLB,PROTO LABS INC,1.13%,1946349,$30.89,5.41%,$29.22,$60122721
Fred Martin,Disciplined Growth Investors,PSTG,PURE STORAGE INC - CLASS A,6.66%,5506659,$64.21,26.20%,$47.39,$353582574
Fred Martin,Disciplined Growth Investors,RCL,ROYAL CARIBBEAN CRUISES LTD,1.74%,563581,$159.43,0.41%,$158.77,$89851750
Fred Martin,Disciplined Growth Investors,SMTC,SEMTECH CORP,1.40%,2494985,$29.88,42.17%,$42.48,$74550152
Fred Martin,Disciplined Growth Investors,SNA,SNAP-ON INC,1.80%,365040,$261.39,6.76%,$279.07,$95417806
Fred Martin,Disciplined Growth Investors,SWN,SOUTHWESTERN ENERGY CO,3.89%,29437509,$6.73,10.40%,$6.03,$198114436
Fred Martin,Disciplined Growth Investors,SPSC,SPS COMMERCE INC,0.60%,168677,$188.16,1.00%,$190.05,$31738264
Fred Martin,Disciplined Growth Investors,SFIX,STITCH FIX INC-CLASS A,0.72%,9273817,$4.15,15.66%,$3.50,$38486341
Fred Martin,Disciplined Growth Investors,SRI,STONERIDGE INC,0.07%,226732,$15.96,16.04%,$13.40,$3618657
Fred Martin,Disciplined Growth Investors,STRA,STRATEGIC EDUCATION INC,0.94%,450928,$110.66,14.15%,$95.00,$49899692
Fred Martin,Disciplined Growth Investors,SMCI,SUPER MICRO COMPUTER INC,15.62%,1012405,$819.35,48.32%,$423.47,$829514037
Fred Martin,Disciplined Growth Investors,SRDX,SURMODICS INC,0.46%,539926,$42.04,7.68%,$38.81,$22698505
Fred Martin,Disciplined Growth Investors,TTWO,TAKE-TWO INTERACTIVE SOFTWRE,0.91%,310695,$155.49,1.64%,$158.04,$48309966
Fred Martin,Disciplined Growth Investors,TREX,TREX COMPANY INC,0.57%,411580,$74.12,17.44%,$61.19,$30506310
Fred Martin,Disciplined Growth Investors,UAA,UNDER ARMOUR INC-CLASS A,0.68%,4952568,$6.67,23.39%,$8.23,$33033631
Fred Martin,Disciplined Growth Investors,VLO,VALERO ENERGY CORP,0.00%,1500,$156.76,10.93%,$139.63,$235140
Fred Martin,Disciplined Growth Investors,VSAT,VIASAT INC,0.82%,3449281,$12.70,19.37%,$15.16,$43805869
Fred Martin,Disciplined Growth Investors,VZIO,VIZIO HOLDING CORP-A,0.70%,3096828,$10.80,4.44%,$11.28,$33445742
Fred Martin,Disciplined Growth Investors,ZIP,ZIPRECRUITER INC-A,0.17%,990002,$9.09,6.05%,$9.64,$8999118
Fred Martin,Disciplined Growth Investors,ZUMZ,ZUMIEZ INC,0.07%,185693,$19.48,35.78%,$26.45,$3617300
C.T. Fitzpatrick,Vulcan Value Partners,ABT,ABBOTT LABORATORIES,0.74%,460431,$103.86,10.15%,$114.40,$47819760
C.T. Fitzpatrick,Vulcan Value Partners,ABM,ABM INDUSTRIES INC,0.84%,1168048,$50.57,10.74%,$56.00,$59068000
C.T. Fitzpatrick,Vulcan Value Partners,AYI,ACUITY BRANDS INC,0.10%,26436,$241.45,2.30%,$247.00,$6383050
C.T. Fitzpatrick,Vulcan Value Partners,GOOG,ALPHABET INC-CL C,5.15%,1980905,$183.45,13.98%,$157.81,$363396000
C.T. Fitzpatrick,Vulcan Value Partners,AMZN,AMAZONCOM INC,6.83%,2490807,$193.36,10.36%,$173.33,$481612000
C.T. Fitzpatrick,Vulcan Value Partners,ANTM,ANTHEM INC,2.65%,344938,$541.39,10.86%,$482.58,$186745000
C.T. Fitzpatrick,Vulcan Value Partners,ARES,ARES MANAGEMENT CORP - A,2.16%,583272,$133.46,5.54%,$140.86,$77845380
C.T. Fitzpatrick,Vulcan Value Partners,CG,CARLYLE GROUP INC/THE,4.26%,7495229,$40.13,5.00%,$38.12,$300767000
C.T. Fitzpatrick,Vulcan Value Partners,KMX,CARMAX INC,1.90%,1827139,$73.21,11.79%,$81.85,$133773000
C.T. Fitzpatrick,Vulcan Value Partners,CBRE,CBRE GROUP INC - A,3.36%,2666141,$89.01,28.96%,$114.79,$237323000
C.T. Fitzpatrick,Vulcan Value Partners,CIGI,COLLIERS INTERNATIONAL GROUP,0.72%,454181,$111.78,25.66%,$140.46,$50767000
C.T. Fitzpatrick,Vulcan Value Partners,CSGP,COSTAR GROUP INC,4.35%,4138987,$74.13,4.14%,$77.20,$306831000
C.T. Fitzpatrick,Vulcan Value Partners,CCK,CROWN HOLDINGS INC,0.19%,179700,$74.39,21.43%,$90.33,$13368180
C.T. Fitzpatrick,Vulcan Value Partners,CWK,CUSHMAN & WAKEFIELD PLC,0.70%,2859451,$10.40,22.50%,$12.74,$29738400
C.T. Fitzpatrick,Vulcan Value Partners,DNB,DUN & BRADSTREET HOLDINGS IN,0.68%,5206280,$9.26,28.08%,$11.86,$48210000
C.T. Fitzpatrick,Vulcan Value Partners,ENS,ENERSYS,0.20%,138507,$103.52,4.81%,$98.54,$14338000
C.T. Fitzpatrick,Vulcan Value Partners,FISV,FISERV INC,1.27%,600318,$148.91,23.29%,$114.23,$89391000
C.T. Fitzpatrick,Vulcan Value Partners,G,GENPACT LTD,7.15%,1567428,$321.90,87.89%,$38.99,$504556000
C.T. Fitzpatrick,Vulcan Value Partners,HEI.A,HEICO CORP INC CL A,1.85%,385383,$177.38,10.82%,$196.58,$68360250
C.T. Fitzpatrick,Vulcan Value Partners,MLHR,HERMAN MILLER INC,0.44%,1164023,$26.68,44.90%,$38.66,$31056000
C.T. Fitzpatrick,Vulcan Value Partners,ITRN,ITURAN LOCATION AND CONTROL,0.50%,1410937,$24.93,11.30%,$27.75,$35178000
C.T. Fitzpatrick,Vulcan Value Partners,JLL,JONES LANG LASALLE INC,2.74%,551883,$204.81,21.77%,$249.39,$113031945
C.T. Fitzpatrick,Vulcan Value Partners,KKR,KKR & CO INC,4.36%,2924461,$105.22,11.84%,$117.67,$307700000
C.T. Fitzpatrick,Vulcan Value Partners,LFUS,LITTELFUSE INC,0.87%,130337,$255.59,1.58%,$259.62,$33312600
C.T. Fitzpatrick,Vulcan Value Partners,LYV,LIVE NATION ENTERTAINMENT IN,3.58%,1495426,$93.77,1.59%,$95.26,$140227964
C.T. Fitzpatrick,Vulcan Value Partners,MAR,MARRIOTT INTERNATIONAL -CL A,0.48%,140475,$241.62,5.03%,$229.46,$33941000
C.T. Fitzpatrick,Vulcan Value Partners,MA,MASTERCARD INC - A,4.31%,688998,$441.07,9.54%,$483.14,$303894000
C.T. Fitzpatrick,Vulcan Value Partners,MEDP,MEDPACE HOLDINGS INC,0.23%,37249,$411.84,15.72%,$347.10,$15340605
C.T. Fitzpatrick,Vulcan Value Partners,MSFT,MICROSOFT CORP,5.24%,748210,$447.23,8.57%,$408.90,$334619225
C.T. Fitzpatrick,Vulcan Value Partners,NICE,NICE LTD - SPON ADR,2.89%,677371,$171.80,3.66%,$165.51,$116375760
C.T. Fitzpatrick,Vulcan Value Partners,PK,PARK HOTELS & RESORTS INC,0.20%,920427,$15.23,5.19%,$14.44,$14018000
C.T. Fitzpatrick,Vulcan Value Partners,PLNT,PLANET FITNESS INC - CL A,0.10%,97386,$73.59,7.32%,$78.98,$7167000
C.T. Fitzpatrick,Vulcan Value Partners,PRG,PROG HOLDINGS INC,0.39%,789920,$34.68,36.10%,$47.20,$27394000
C.T. Fitzpatrick,Vulcan Value Partners,QRVO,QORVO INC,3.50%,2123936,$116.14,6.27%,$108.85,$246665000
C.T. Fitzpatrick,Vulcan Value Partners,CRM,SALESFORCECOM INC,5.38%,1476111,$257.07,3.65%,$247.68,$379469000
C.T. Fitzpatrick,Vulcan Value Partners,SEE,SEALED AIR CORP,0.43%,878918,$34.79,1.35%,$34.32,$30578000
C.T. Fitzpatrick,Vulcan Value Partners,SWKS,SKYWORKS SOLUTIONS INC,6.83%,4518451,$106.57,3.80%,$102.52,$481552000
C.T. Fitzpatrick,Vulcan Value Partners,SMRT,SMARTRENT INC,0.30%,5532099,$2.39,30.13%,$1.67,$13221885
C.T. Fitzpatrick,Vulcan Value Partners,SSNC,SS&C TECHNOLOGIES HOLDINGS,1.70%,1918399,$62.65,18.25%,$74.08,$120179000
C.T. Fitzpatrick,Vulcan Value Partners,SBUX,STARBUCKS CORP,0.72%,609027,$77.80,18.67%,$92.33,$47382995
C.T. Fitzpatrick,Vulcan Value Partners,TKR,TIMKEN CO,0.29%,255843,$80.13,1.14%,$79.22,$20500980
C.T. Fitzpatrick,Vulcan Value Partners,TDG,TRANSDIGM GROUP INC,3.99%,220570,$1276.85,5.78%,$1350.62,$281634000
C.T. Fitzpatrick,Vulcan Value Partners,UNH,UNITEDHEALTH GROUP INC,1.21%,167470,$508.25,18.87%,$604.18,$85117000
C.T. Fitzpatrick,Vulcan Value Partners,VRTS,VIRTUS INVESTMENT PARTNERS,0.41%,128890,$225.85,10.48%,$202.19,$29110000
C.T. Fitzpatrick,Vulcan Value Partners,V,VISA INC-CLASS A SHARES,3.80%,1020377,$262.49,6.86%,$280.49,$267841000
Charles Jigarjian,7G Capital Management,BABA,ALIBABA GROUP HOLDING-SP ADR,4.10%,115500,$78.85,4.59%,$82.47,$9107175
Charles Jigarjian,7G Capital Management,GOOGL,ALPHABET INC-CL A,7.72%,74500,$171.54,8.80%,$156.45,$12779730
Charles Jigarjian,7G Capital Management,AAPL,APPLE INC,69.94%,532000,$222.08,0.55%,$220.85,$118146560
Charles Jigarjian,7G Capital Management,BRK.A,BERKSHIRE HATHAWAY INC CL-A,8.90%,30,$659210.83,8.58%,$715778.00,$19776325
Charles Jigarjian,7G Capital Management,NVDA,NVIDIA CORP,0.05%,1000,$117.02,9.24%,$106.21,$117020
Charles Jigarjian,7G Capital Management,OXY,OCCIDENTAL PETROLEUM CORP,5.68%,200000,$63.07,13.38%,$54.63,$12614000
Charles Jigarjian,7G Capital Management,TSM,TAIWAN SEMICONDUCTOR-SP ADR,3.62%,48500,$165.80,2.97%,$160.87,$8041300
Ravenel Boykin Curry IV,Eagle Capital Management,AER,AERCAP HOLDINGS NV,4.16%,12022314,$93.20,0.27%,$92.95,$1120479665
Ravenel Boykin Curry IV,Eagle Capital Management,AA,ALCOA CORP,2.21%,7803015,$39.78,23.38%,$30.48,$310403955
Ravenel Boykin Curry IV,Eagle Capital Management,GOOGL,ALPHABET INC-CL A,1.06%,1567484,$182.15,14.11%,$156.45,$285517211
Ravenel Boykin Curry IV,Eagle Capital Management,GOOG,ALPHABET INC-CL C,5.85%,8599572,$183.42,13.96%,$157.81,$1577333496
Ravenel Boykin Curry IV,Eagle Capital Management,AMZN,AMAZONCOM INC,9.30%,6555209,$193.25,10.31%,$173.33,$1266794150
Ravenel Boykin Curry IV,Eagle Capital Management,AIG,AMERICAN INTERNATIONAL GROUP,0.00%,13200,$74.24,3.30%,$76.69,$979968
Ravenel Boykin Curry IV,Eagle Capital Management,ANTM,ANTHEM INC,3.23%,1608516,$541.86,10.94%,$482.58,$871590480
Ravenel Boykin Curry IV,Eagle Capital Management,AON,AON PLC-CLASS A,4.36%,4001132,$293.58,18.72%,$348.55,$1174652333
Ravenel Boykin Curry IV,Eagle Capital Management,BRK.B,BERKSHIRE HATHAWAY INC CL-B,0.08%,50820,$406.80,17.64%,$478.57,$20673576
Ravenel Boykin Curry IV,Eagle Capital Management,COF,CAPITAL ONE FINANCIAL CORP,2.75%,5352147,$138.45,3.84%,$143.77,$741004752
Ravenel Boykin Curry IV,Eagle Capital Management,CHTR,CHARTER COMMUNICATIONS INC-A,1.84%,1614543,$298.96,10.93%,$331.64,$482683909
Ravenel Boykin Curry IV,Eagle Capital Management,C,CITIGROUP INC COM NEW,0.03%,137740,$63.46,3.94%,$60.96,$8740980
Ravenel Boykin Curry IV,Eagle Capital Management,CMCSA,COMCAST CORP-CLASS A,2.71%,18665345,$39.16,1.25%,$38.67,$730934910
Ravenel Boykin Curry IV,Eagle Capital Management,COP,CONOCOPHILLIPS,6.16%,13934543,$114.38,5.09%,$108.56,$1593833033
Ravenel Boykin Curry IV,Eagle Capital Management,DFS,DISCOVER FINANCIAL SERVICES,0.75%,1545337,$130.81,3.26%,$135.08,$202145533
Ravenel Boykin Curry IV,Eagle Capital Management,SATS,ECHOSTAR CORP-A,0.00%,23518,$17.81,3.37%,$18.41,$418858
Ravenel Boykin Curry IV,Eagle Capital Management,ECL,ECOLAB INC,0.02%,24243,$238.00,3.73%,$246.88,$5769834
Ravenel Boykin Curry IV,Eagle Capital Management,GEHCV,GE HEALTHCARE INC-W/I,0.01%,19266,$77.92,28.13%,$56.00,$1501207
Ravenel Boykin Curry IV,Eagle Capital Management,GEV,GE VERNOVA INC,3.28%,5164326,$171.51,16.40%,$199.63,$885733552
Ravenel Boykin Curry IV,Eagle Capital Management,GE,GENERAL ELECTRIC CO,0.05%,76944,$158.97,4.65%,$166.36,$12231864
Ravenel Boykin Curry IV,Eagle Capital Management,GM,GENERAL MOTORS CO,0.01%,45750,$46.46,4.28%,$48.45,$2125545
Ravenel Boykin Curry IV,Eagle Capital Management,GS,GOLDMAN SACHS GROUP INC,1.77%,1054648,$452.32,8.47%,$490.64,$477038383
Ravenel Boykin Curry IV,Eagle Capital Management,HLT,HILTON WORLDWIDE HOLDINGS IN,2.23%,2759985,$218.20,1.81%,$214.25,$602228727
Ravenel Boykin Curry IV,Eagle Capital Management,HUM,HUMANA INC,4.47%,2904196,$373.65,0.60%,$371.40,$1085153022
Ravenel Boykin Curry IV,Eagle Capital Management,IBM,INTL BUSINESS MACHINES CORP,0.00%,2700,$172.95,18.02%,$204.11,$466965
Ravenel Boykin Curry IV,Eagle Capital Management,JPM,JPMORGAN CHASE & CO,0.00%,1109,$202.26,8.44%,$219.33,$224306
Ravenel Boykin Curry IV,Eagle Capital Management,LBRDA,LIBERTY BROADBAND-A,0.10%,416644,$54.60,8.61%,$59.30,$22748801
Ravenel Boykin Curry IV,Eagle Capital Management,LBRDK,LIBERTY BROADBAND-C,1.18%,5784139,$54.82,9.81%,$60.20,$317086500
Ravenel Boykin Curry IV,Eagle Capital Management,LBTYK,LIBERTY GLOBAL LTD-C,0.00%,68558,$17.85,14.45%,$20.43,$1223760
Ravenel Boykin Curry IV,Eagle Capital Management,LYB,LYONDELLBASELL INDU-CL A,0.00%,3823,$95.66,0.83%,$94.87,$365770
Ravenel Boykin Curry IV,Eagle Capital Management,MAR,MARRIOTT INTERNATIONAL -CL A,0.04%,39045,$241.77,5.09%,$229.46,$9439910
Ravenel Boykin Curry IV,Eagle Capital Management,META,META PLATFORMS INC-CLASS A,6.12%,3272566,$504.22,1.69%,$512.74,$1650093229
Ravenel Boykin Curry IV,Eagle Capital Management,MSFT,MICROSOFT CORP,5.84%,3012589,$446.95,8.51%,$408.90,$1346476689
Ravenel Boykin Curry IV,Eagle Capital Management,MS,MORGAN STANLEY,0.04%,101771,$97.19,3.05%,$100.15,$9891123
Ravenel Boykin Curry IV,Eagle Capital Management,NFLX,NETFLIX INC,2.64%,1055778,$674.88,0.71%,$679.68,$712523457
Ravenel Boykin Curry IV,Eagle Capital Management,NWSA,NEWS CORP - CLASS A,0.00%,6300,$27.57,1.56%,$27.14,$173691
Ravenel Boykin Curry IV,Eagle Capital Management,OXY,OCCIDENTAL PETROLEUM CORP,2.63%,11251478,$63.03,13.33%,$54.63,$709180658
Ravenel Boykin Curry IV,Eagle Capital Management,ORCL,ORACLE CORP,0.04%,78494,$141.20,0.32%,$140.75,$11083353
Ravenel Boykin Curry IV,Eagle Capital Management,SAP,SAP SE-SPONSORED ADR,3.47%,3830267,$201.71,6.80%,$215.43,$772603176
Ravenel Boykin Curry IV,Eagle Capital Management,SHEL,SHELL PLC-ADR,4.05%,15140877,$72.18,5.08%,$68.51,$1092868502
Ravenel Boykin Curry IV,Eagle Capital Management,BIL,SPDR BLOOMBERG 1-3 MONTH T-B,0.28%,831507,$91.78,0.34%,$91.47,$76315712
Ravenel Boykin Curry IV,Eagle Capital Management,TSM,TAIWAN SEMICONDUCTOR-SP ADR,3.94%,4954567,$173.81,7.44%,$160.87,$861153376
Ravenel Boykin Curry IV,Eagle Capital Management,TMO,THERMO FISHER SCIENTIFIC INC,0.00%,863,$553.00,10.65%,$611.90,$477239
Ravenel Boykin Curry IV,Eagle Capital Management,TRV,TRAVELERS COS INC/THE,0.01%,6900,$203.34,13.81%,$231.42,$1403046
Ravenel Boykin Curry IV,Eagle Capital Management,UNH,UNITEDHEALTH GROUP INC,4.33%,1822900,$509.26,18.64%,$604.18,$928330469
Ravenel Boykin Curry IV,Eagle Capital Management,V,VISA INC-CLASS A SHARES,1.26%,1298347,$262.47,6.87%,$280.49,$340777137
Ravenel Boykin Curry IV,Eagle Capital Management,WAB,WABTEC CORP,0.00%,1714,$158.05,3.79%,$164.04,$270898
Ravenel Boykin Curry IV,Eagle Capital Management,DIS,WALT DISNEY CO/THE,0.00%,3128,$99.29,10.11%,$89.25,$310579
Ravenel Boykin Curry IV,Eagle Capital Management,WFC,WELLS FARGO & CO,2.61%,9229717,$59.39,2.14%,$58.12,$548152915
Ravenel Boykin Curry IV,Eagle Capital Management,WWD,WOODWARD INC,2.65%,4100462,$174.38,7.07%,$162.05,$715038564
Ravenel Boykin Curry IV,Eagle Capital Management,WDAY,WORKDAY INC-CLASS A,2.42%,2915366,$223.56,15.67%,$258.60,$651759223
Ravenel Boykin Curry IV,Eagle Capital Management,WRB,WR BERKLEY CORP,0.02%,81541,$78.58,22.91%,$60.58,$6407519
Greg Alexander,Conifer Management,EQH,EQUITABLE HOLDINGS INC,30.06%,6000000,$40.86,0.49%,$41.06,$245160000
Greg Alexander,Conifer Management,GPI,GROUP 1 AUTOMOTIVE INC,20.72%,369475,$297.28,22.53%,$364.26,$109837706
Greg Alexander,Conifer Management,LAD,LITHIA MOTORS INC,21.67%,700000,$252.45,12.95%,$285.13,$176715000
Greg Alexander,Conifer Management,RMNI,RIMINI STREET INC,2.23%,5913199,$3.07,43.97%,$1.72,$18153521
Greg Alexander,Conifer Management,STLA,STELLANTIS NV,17.33%,4521200,$19.85,18.99%,$16.08,$89745820
Greg Alexander,Conifer Management,YNDX,YANDEX NV-A,8.01%,5500000,$11.87,59.52%,$18.94,$65301747
Quincy Lee,Ancient Art (Teton Capital),BABA,ALIBABA GROUP HOLDING-SP ADR,3.63%,184831,$72.00,14.54%,$82.47,$13307850
Quincy Lee,Ancient Art (Teton Capital),ALLY,ALLY FINANCIAL INC,10.38%,1021646,$39.67,4.81%,$41.58,$40528697
Quincy Lee,Ancient Art (Teton Capital),AMZN,AMAZONCOM INC,2.97%,60000,$193.25,10.31%,$173.33,$11595000
Quincy Lee,Ancient Art (Teton Capital),VLRS,CONTROLADORA VUELA CIA-ADR,0.65%,369230,$6.36,11.95%,$5.60,$2348304
Quincy Lee,Ancient Art (Teton Capital),DESP,DESPEGARCOM CORP,6.62%,1952272,$13.23,7.48%,$12.24,$25828559
Quincy Lee,Ancient Art (Teton Capital),EXPE,EXPEDIA GROUP INC,0.28%,8711,$125.99,7.09%,$134.92,$1097499
Quincy Lee,Ancient Art (Teton Capital),ULCC,FRONTIER GROUP HOLDINGS INC,9.51%,6850226,$4.93,26.17%,$3.64,$33771615
Quincy Lee,Ancient Art (Teton Capital),GGAL,GRUPO FINANCIERO GALICIA-ADR,0.39%,50000,$30.56,38.22%,$42.24,$1528000
Quincy Lee,Ancient Art (Teton Capital),IBKR,INTERACTIVE BROKERS GRO-CL A,16.49%,525174,$122.60,2.38%,$125.52,$64386332
Quincy Lee,Ancient Art (Teton Capital),LPI,LAREDO PETROLEUM INC,4.63%,349200,$44.82,7.30%,$48.09,$15651166
Quincy Lee,Ancient Art (Teton Capital),LOMA,LOMA NEGRA CIA IND-SPON ADR,2.28%,1179604,$6.76,7.40%,$7.26,$7974126
Quincy Lee,Ancient Art (Teton Capital),OSCR,OSCAR HEALTH INC - CLASS A,4.35%,1074012,$15.82,10.24%,$17.44,$16990870
Quincy Lee,Ancient Art (Teton Capital),SEMR,SEMRUSH HOLDINGS INC-A,1.69%,493606,$13.39,0.82%,$13.28,$6609384
Quincy Lee,Ancient Art (Teton Capital),STLA,STELLANTIS NV,13.17%,2280078,$19.85,18.99%,$16.08,$45259552
Quincy Lee,Ancient Art (Teton Capital),TGLS,TECNOGLASS INC,1.93%,150000,$50.18,19.81%,$60.12,$7527000
Quincy Lee,Ancient Art (Teton Capital),UPWK,UPWORK INC,20.21%,7339684,$10.75,10.79%,$9.59,$78901603
Quincy Lee,Ancient Art (Teton Capital),XPOF,XPONENTIAL FITNESS INC-A,0.81%,203100,$15.60,19.68%,$12.53,$3168360
Francis Chou,Chou Associates Management,BABA,ALIBABA GROUP HOLDING-SP ADR,0.18%,3400,$72.00,14.54%,$82.47,$244800
Francis Chou,Chou Associates Management,ALLY,ALLY FINANCIAL INC,6.43%,139825,$39.67,4.81%,$41.58,$5546875
Francis Chou,Chou Associates Management,GOOG,ALPHABET INC-CL C,10.87%,82390,$183.42,13.96%,$157.81,$15111974
Francis Chou,Chou Associates Management,AAPL,APPLE INC,6.66%,44000,$210.62,4.86%,$220.85,$9267280
Francis Chou,Chou Associates Management,AGO,ASSURED GUARANTY LTD,0.61%,6648,$77.15,3.33%,$79.72,$512966
Francis Chou,Chou Associates Management,BAC,BANK OF AMERICA CORP,1.43%,50000,$39.77,1.84%,$40.50,$1988500
Francis Chou,Chou Associates Management,BRK.A,BERKSHIRE HATHAWAY INC CL-A,39.62%,90,$612240.73,16.91%,$715778.00,$55101666
Francis Chou,Chou Associates Management,CYD,CHINA YUCHAI INTL LTD,0.48%,43284,$9.10,24.18%,$11.30,$393891
Francis Chou,Chou Associates Management,C,CITIGROUP INC COM NEW,2.63%,57695,$63.46,3.94%,$60.96,$3661323
Francis Chou,Chou Associates Management,CACC,CREDIT ACCEPTANCE CORP,0.10%,262,$514.68,12.09%,$452.44,$134846
Francis Chou,Chou Associates Management,HTZWW,HERTZ GLOBAL HLDGS INC -CW51,0.42%,139274,$2.44,12.28%,$2.14,$339782
Francis Chou,Chou Associates Management,IMO,IMPERIAL OIL LTD,0.25%,5000,$68.18,4.14%,$71.01,$340923
Francis Chou,Chou Associates Management,JEF,JEFFERIES FINANCIAL GROUP IN,0.39%,10987,$49.76,15.96%,$57.70,$546713
Francis Chou,Chou Associates Management,LEA,LEAR CORP,0.33%,2240,$114.21,0.41%,$113.74,$255830
Francis Chou,Chou Associates Management,LBTYA,LIBERTY GLOBAL LTD-A,1.53%,121823,$17.43,14.92%,$20.03,$2123374
Francis Chou,Chou Associates Management,LSXMK,LIBERTY MEDIA CORP-LIBER-NEW,0.45%,28282,$22.16,5.19%,$23.31,$626729
Francis Chou,Chou Associates Management,LPX,LOUISIANA-PACIFIC CORP,0.35%,3207,$82.33,14.39%,$94.18,$264103
Francis Chou,Chou Associates Management,MGA,MAGNA INTERNATIONAL INC,0.30%,10000,$41.90,0.76%,$41.58,$419000
